codigo,nombre,longitud,latitud,tecnologia,DEF_24_mean_dias_con_dato,MAM_24_mean_dias_con_dato,JJA_24_mean_dias_con_dato,SON_24_mean_dias_con_dato,DEF_25_mean_dias_con_dato,MAM_25_mean_dias_con_dato,JJA_25_mean_dias_con_dato,SON_25_mean_dias_con_dato,DEF_24_prec_media,DEF_24_prec_25,DEF_24_prec_50,DEF_24_prec_75,DEF_24_prec_max,DEF_24_fecha_max_precip,DEF_24_max_precip,MAM_24_prec_media,MAM_24_prec_25,MAM_24_prec_50,MAM_24_prec_75,MAM_24_prec_max,MAM_24_fecha_max_precip,MAM_24_max_precip,JJA_24_prec_media,JJA_24_prec_25,JJA_24_prec_50,JJA_24_prec_75,JJA_24_prec_max,JJA_24_fecha_max_precip,JJA_24_max_precip,SON_24_prec_media,SON_24_prec_25,SON_24_prec_50,SON_24_prec_75,SON_24_prec_max,SON_24_fecha_max_precip,SON_24_max_precip,DEF_25_prec_media,DEF_25_prec_25,DEF_25_prec_50,DEF_25_prec_75,DEF_25_prec_max,DEF_25_fecha_max_precip,DEF_25_max_precip,MAM_25_prec_media,MAM_25_prec_25,MAM_25_prec_50,MAM_25_prec_75,MAM_25_prec_max,MAM_25_fecha_max_precip,MAM_25_max_precip,JJA_25_prec_media,JJA_25_prec_25,JJA_25_prec_50,JJA_25_prec_75,JJA_25_prec_max,JJA_25_fecha_max_precip,JJA_25_max_precip,SON_25_prec_media,SON_25_prec_25,SON_25_prec_50,SON_25_prec_75,SON_25_prec_max,SON_25_fecha_max_precip,SON_25_max_precip,DEF_24_cadencia_media,MAM_24_cadencia_media,JJA_24_cadencia_media,SON_24_cadencia_media,DEF_25_cadencia_media,MAM_25_cadencia_media,JJA_25_cadencia_media,SON_25_cadencia_media,ratio_max_segundo_max,fecha_max_global,precip_max_global,cluster_geografico,p95_propia,p95_cluster_prom,ratio_p95_cluster
2120000099,COLEGIO VEINTIUN ANGELES [2120000099],-74.081,4.749,Automática con Telemetría,0.549,0.935,0.641,0.857,0.7,0.946,0.728,0.945,1.548,0.0,0.0,0.0,31.1,2024-02-07,31.1,0.624,0.0,0.0,0.1,13.4,2024-03-20,13.4,0.037,0.0,0.0,0.0,0.5,2024-07-15,0.5,5.085,0.0,0.2,6.05,41.2,2024-11-19,41.2,1.565,0.0,0.0,0.6,21.6,2024-12-02,21.6,1.267,0.0,0.2,1.9,8.3,2025-04-29,8.3,0.522,0.0,0.1,0.8,6.7,2025-06-22,6.7,2.057,0.0,0.1,1.7,24.3,2025-10-16,24.3,3.6,6.6,33.9,1.4,1.2,3.0,4.6,1.8,1.051,2024-11-19,41.2,5,9.04,13.12,0.69
2120000109,COLEGIO RODOLFO LLINAS [2120000109],-74.108,4.72,Automática con Telemetría,0.549,0.924,0.717,0.835,0.589,0.946,0.717,0.945,0.716,0.0,0.0,0.0,9.6,2024-02-01,9.6,0.467,0.0,0.0,0.1,10.3,2024-03-20,10.3,0.08,0.0,0.0,0.0,1.4,2024-07-05,1.4,5.574,0.0,0.2,7.45,46.4,2024-11-11,46.4,1.217,0.0,0.0,0.8,20.6,2025-01-03,20.6,3.61,0.15,1.2,4.15,36.7,2025-04-27,36.7,1.291,0.0,0.1,1.45,19.2,2025-08-22,19.2,2.914,0.0,0.1,1.65,36.1,2025-10-27,36.1,3.7,6.2,13.1,1.2,1.2,1.6,2.4,1.3,1.202,2024-11-11,46.4,5,11.64,12.92,0.9
2120000140,FUNDACIÓN ANA RESTREPO DEL CORRAL [2120000140],-74.023,4.706,Automática con Telemetría,0.549,0.924,0.761,0.824,0.567,0.946,0.707,0.945,1.506,0.0,0.0,0.0,38.1,2024-02-06,38.1,0.535,0.0,0.0,0.2,13.5,2024-04-20,13.5,0.116,0.0,0.0,0.075,1.6,2024-07-15,1.6,9.785,0.0,0.0,8.5,100.8,2024-11-20,100.8,1.686,0.0,0.0,0.35,18.2,2024-12-26,18.2,5.686,0.2,1.7,7.2,83.9,2025-04-25,83.9,1.222,0.1,0.4,1.6,8.0,2025-06-09,8.0,2.431,0.0,0.25,1.575,30.4,2025-10-16,30.4,3.5,5.5,12.1,1.2,1.2,1.5,2.4,1.3,1.201,2024-11-20,100.8,5,15.19,12.65,1.2
2120500204,IDEAM PUENTE ARANDA [2120500204],-74.103,4.622,Automática con Telemetría,0.0,0.272,0.967,0.989,0.767,0.935,0.989,0.967,,,,,,,,0.648,0.0,0.2,0.7,4.3,2024-05-14,4.3,0.896,0.0,0.0,0.8,14.7,2024-07-05,14.7,7.762,0.0,0.4,6.75,108.6,2024-11-19,108.6,59.987,0.0,0.2,60.4,651.6,2025-01-22,651.6,12.393,0.2,4.35,12.05,150.2,2025-04-09,150.2,1.862,0.0,0.2,1.4,17.0,2025-06-09,17.0,2.291,0.0,0.3,1.85,43.0,2025-10-13,43.0,,29.6,11.1,6.3,6.9,12.0,10.0,10.7,1.14,2025-01-22,651.6,7,44.44,12.99,3.42
2120500201,VITELMA [2120500201],-74.072,4.575,Automática con Telemetría,0.549,0.924,0.761,0.846,0.589,0.946,0.717,0.945,0.398,0.0,0.0,0.0,3.7,2024-02-05,3.7,0.682,0.0,0.0,0.2,18.7,2024-03-20,18.7,0.146,0.0,0.0,0.1,1.9,2024-07-23,1.9,7.079,0.0,0.5,11.2,50.8,2024-11-10,50.8,1.353,0.0,0.0,0.2,30.0,2025-01-08,30.0,3.557,0.3,1.2,4.55,33.1,2025-03-29,33.1,2.356,0.4,1.05,2.575,14.1,2025-07-19,14.1,2.863,0.0,0.25,2.35,36.8,2025-11-15,36.8,5.2,5.2,12.1,1.2,1.2,1.5,2.5,1.2,1.38,2024-11-10,50.8,7,13.52,15.2,0.89
2120000118,COLEGIO ALBERTO LLERAS CAMARGO [2120000118],-74.102,4.743,Automática con Telemetría,0.549,0.815,0.685,0.857,0.589,0.946,0.728,0.945,1.708,0.0,0.0,0.0,39.0,2024-02-07,39.0,0.467,0.0,0.0,0.1,8.7,2024-04-30,8.7,0.098,0.0,0.0,0.0,2.1,2024-07-05,2.1,5.824,0.0,0.1,7.2,44.2,2024-11-20,44.2,2.092,0.0,0.0,1.6,29.6,2025-01-19,29.6,2.797,0.0,0.8,3.85,19.5,2025-04-27,19.5,1.243,0.0,0.2,1.65,13.0,2025-06-12,13.0,2.999,0.0,0.15,3.125,43.0,2025-09-19,43.0,3.2,8.8,12.3,1.2,1.2,1.5,2.1,1.2,1.028,2024-11-20,44.2,5,12.95,12.82,1.01
2120000172,COLEGIO UNION COLOMBIA SEDE A (IED) [2120000172],-74.028,4.759,Automática con Telemetría,0.549,0.935,0.728,0.824,0.578,0.946,0.728,0.945,0.44,0.0,0.0,0.0,10.8,2024-02-06,10.8,0.335,0.0,0.0,0.175,8.1,2024-04-18,8.1,0.073,0.0,0.0,0.0,1.2,2024-07-15,1.2,6.069,0.0,0.2,5.8,91.8,2024-11-06,91.8,0.967,0.0,0.0,0.4,15.2,2025-01-19,15.2,3.024,0.0,1.0,3.9,37.1,2025-03-11,37.1,0.873,0.0,0.1,1.15,7.9,2025-06-22,7.9,2.356,0.0,0.15,1.85,25.6,2025-10-13,25.6,3.1,5.6,12.8,1.2,1.2,1.7,2.1,1.2,1.556,2024-11-06,91.8,5,10.8,12.98,0.83
2120000103,CERRO NORTE - AUT  [2120000103],-74.019,4.733,Automática con Telemetría,0.549,0.924,0.674,0.857,0.578,0.891,0.728,0.868,0.616,0.0,0.0,0.0,19.3,2024-02-06,19.3,0.328,0.0,0.0,0.2,6.3,2024-03-04,6.3,0.037,0.0,0.0,0.0,0.7,2024-07-15,0.7,6.805,0.0,0.15,4.15,96.8,2024-11-02,96.8,3.131,0.0,0.0,0.95,63.2,2024-12-30,63.2,2.878,0.0,0.5,3.55,29.0,2025-03-05,29.0,0.649,0.0,0.2,0.7,3.7,2025-06-13,3.7,1.904,0.0,0.2,1.25,17.9,2025-10-16,17.9,3.6,6.8,34.2,1.4,1.5,3.1,4.4,1.8,1.061,2024-11-02,96.8,5,10.2,13.03,0.78
2120000139,ESC. PEDAGOGICA EXPRIMENTAL [2120000139],-74.019,4.676,Automática con Telemetría,0.549,0.935,0.685,0.857,0.7,0.935,0.63,0.934,0.69,0.0,0.0,0.0,9.8,2024-02-01,9.8,0.341,0.0,0.0,0.1,10.5,2024-03-20,10.5,0.059,0.0,0.0,0.0,0.7,2024-07-13,0.7,6.104,0.0,0.2,4.4,83.6,2024-11-06,83.6,1.678,0.0,0.0,0.45,42.2,2024-12-12,42.2,1.629,0.0,0.45,1.725,16.8,2025-03-05,16.8,0.909,0.0,0.5,1.425,4.5,2025-06-06,4.5,1.908,0.0,0.3,1.0,34.9,2025-11-30,34.9,3.6,6.5,33.1,1.6,1.3,4.0,5.8,1.8,1.427,2024-11-06,83.6,5,8.28,13.18,0.63
2120700038,SAN FRANCISCO - AUT  [2120700038],-74.149,4.562,Automática con Telemetría,0.549,0.935,0.707,0.857,0.656,0.946,0.728,0.956,0.564,0.0,0.0,0.0,14.2,2024-02-06,14.2,0.212,0.0,0.0,0.0,10.4,2024-03-20,10.4,0.032,0.0,0.0,0.0,0.6,2024-07-05,0.6,2.873,0.0,0.0,2.75,26.2,2024-11-15,26.2,1.095,0.0,0.0,0.0,23.6,2025-01-03,23.6,1.954,0.0,0.5,2.8,21.1,2025-04-27,21.1,1.069,0.0,0.1,1.85,7.1,2025-08-24,7.1,1.666,0.0,0.1,1.3,31.4,2025-10-13,31.4,4.5,6.9,34.3,1.7,1.2,1.9,2.2,1.2,1.198,2025-10-13,31.4,6,6.67,8.74,0.76
2120000134,COLEGIO LOS ALPES SEDE A [2120000134],-74.084,4.553,Automática con Telemetría,0.549,0.935,0.707,0.835,0.567,0.946,0.728,0.912,1.146,0.0,0.0,0.075,11.1,2024-02-06,11.1,0.805,0.0,0.0,0.1,21.6,2024-03-20,21.6,0.163,0.0,0.0,0.2,1.4,2024-07-25,1.4,6.457,0.0,0.2,7.275,57.0,2024-11-20,57.0,1.737,0.0,0.0,0.4,22.4,2024-12-26,22.4,3.077,0.1,1.0,3.0,54.5,2025-04-25,54.5,1.882,0.15,1.1,2.5,9.2,2025-07-19,9.2,2.286,0.0,0.4,1.85,23.4,2025-11-21,23.4,3.3,5.9,12.6,1.2,1.2,1.7,2.6,1.2,1.046,2024-11-20,57.0,6,11.86,8.5,1.39
2120000126,COLEGIO CIUDAD DE VILLAVICENCIO [2120000126],-74.102,4.487,Automática con Telemetría,0.549,0.935,0.717,0.846,0.578,0.946,0.717,0.945,0.37,0.0,0.0,0.0,5.4,2024-02-05,5.4,0.278,0.0,0.0,0.1,9.1,2024-03-20,9.1,0.182,0.0,0.0,0.2,2.2,2024-07-21,2.2,4.383,0.0,0.2,5.4,40.0,2024-11-10,40.0,0.742,0.0,0.0,0.0,13.8,2025-01-03,13.8,3.098,0.1,1.2,3.5,32.6,2025-04-27,32.6,3.852,0.4,1.9,4.95,20.3,2025-06-06,20.3,2.006,0.0,1.1,2.25,15.0,2025-11-30,15.0,4.5,6.3,15.1,1.2,1.2,1.5,2.1,1.2,1.081,2024-11-10,40.0,6,10.04,8.58,1.17
2120000130,COLEGIO PAULO FREIRE [2120000130],-74.117,4.533,Automática con Telemetría,0.549,0.924,0.652,0.857,0.567,0.946,0.728,0.945,0.456,0.0,0.0,0.075,5.3,2024-02-06,5.3,0.253,0.0,0.0,0.0,9.1,2024-03-20,9.1,0.025,0.0,0.0,0.0,0.6,2024-07-20,0.6,2.864,0.0,0.0,2.225,25.8,2024-10-05,25.8,1.412,0.0,0.0,0.3,34.8,2025-01-03,34.8,2.86,0.0,0.6,2.55,27.4,2025-04-27,27.4,1.696,0.0,0.7,2.1,9.6,2025-06-09,9.6,2.144,0.0,0.3,1.65,34.7,2025-11-15,34.7,5.1,6.6,42.9,1.8,1.2,1.5,2.1,1.2,1.003,2025-01-03,34.8,6,8.97,8.63,1.04
2120000138,COLEGIO NUEVA ZELANDIA [2120000138],-74.047,4.766,Automática con Telemetría,0.549,0.935,0.696,0.857,0.7,0.946,0.728,0.945,0.75,0.0,0.0,0.0,23.6,2024-02-06,23.6,0.386,0.0,0.0,0.1,10.5,2024-03-06,10.5,0.047,0.0,0.0,0.0,2.0,2024-07-05,2.0,6.818,0.0,0.05,5.0,70.4,2024-11-02,70.4,1.784,0.0,0.0,0.05,47.2,2024-12-30,47.2,1.857,0.0,0.3,2.2,21.1,2025-05-19,21.1,0.606,0.0,0.0,0.85,9.3,2025-06-22,9.3,1.935,0.0,0.05,1.475,21.6,2025-09-19,21.6,3.4,5.9,29.6,1.3,1.2,2.9,4.2,1.8,1.067,2024-11-02,70.4,5,9.57,13.08,0.73
2120000124,COLEGIO RAFAEL URIBE [2120000124],-74.132,4.583,Automática con Telemetría,0.549,0.935,0.739,0.846,0.567,0.946,0.717,0.956,0.746,0.0,0.0,0.0,17.1,2024-02-06,17.1,0.303,0.0,0.0,0.1,11.9,2024-03-20,11.9,0.126,0.0,0.0,0.1,1.1,2024-07-05,1.1,3.853,0.0,0.0,4.9,35.6,2024-11-10,35.6,1.747,0.0,0.0,0.2,51.0,2025-01-03,51.0,2.974,0.0,0.9,3.4,20.4,2025-04-27,20.4,1.189,0.0,0.2,1.375,6.2,2025-07-01,6.2,2.155,0.0,0.2,2.1,37.8,2025-10-13,37.8,3.1,5.5,13.0,1.2,1.2,1.5,2.1,1.2,1.349,2025-01-03,51.0,6,8.57,8.65,0.99
2306500204,ALTO DEL VINO [2306500204],-74.288,4.877,Automática con Telemetría,0.0,0.0,0.0,0.352,0.711,0.87,0.989,0.978,,,,,,,,,,,,,,,,,,,,,,12.038,0.4,5.0,11.95,119.6,2024-11-19,119.6,3.386,0.0,0.0,1.2,52.0,2024-12-30,52.0,5.014,0.75,2.6,7.35,21.8,2025-04-08,21.8,2.316,0.0,0.8,3.75,19.2,2025-08-08,19.2,2.39,0.0,0.2,2.4,16.5,2025-09-19,16.5,,,,5.2,7.5,11.6,10.1,10.3,2.151,2024-11-19,119.6,2,16.37,,
2120000125,COLEGIO SORRENTO (SEDE B SAN RAFAEL) (IED)  [2120000125],-74.113,4.62,Automática con Telemetría,0.505,0.848,0.587,0.857,0.678,0.924,0.685,0.89,0.465,0.0,0.0,0.0,11.0,2024-02-05,11.0,0.083,0.0,0.0,0.0,4.0,2024-03-20,4.0,0.011,0.0,0.0,0.0,0.3,2024-07-20,0.3,3.021,0.0,0.05,2.7,28.6,2024-11-12,28.6,1.246,0.0,0.0,0.2,31.0,2025-01-03,31.0,2.429,0.0,0.6,2.7,30.1,2025-05-20,30.1,0.506,0.0,0.1,0.45,4.7,2025-06-09,4.7,1.805,0.0,0.0,1.3,26.3,2025-10-13,26.3,8.8,18.3,73.1,1.9,1.2,2.4,3.6,2.1,1.03,2025-01-03,31.0,7,6.0,15.74,0.38
