codigo,nombre,longitud,latitud,altitud,tecnologia,MAM_24_mean_dias_con_dato,SON_24_mean_dias_con_dato,MAM_25_mean_dias_con_dato,SON_25_mean_dias_con_dato,MAM_24_prec_media,MAM_24_prec_25,MAM_24_prec_50,MAM_24_prec_75,MAM_24_prec_max,MAM_24_fecha_max_precip,MAM_24_max_precip,SON_24_prec_media,SON_24_prec_25,SON_24_prec_50,SON_24_prec_75,SON_24_prec_max,SON_24_fecha_max_precip,SON_24_max_precip,MAM_25_prec_media,MAM_25_prec_25,MAM_25_prec_50,MAM_25_prec_75,MAM_25_prec_max,MAM_25_fecha_max_precip,MAM_25_max_precip,SON_25_prec_media,SON_25_prec_25,SON_25_prec_50,SON_25_prec_75,SON_25_prec_max,SON_25_fecha_max_precip,SON_25_max_precip,MAM_24_cadencia_media,SON_24_cadencia_media,MAM_25_cadencia_media,SON_25_cadencia_media,ratio_max_segundo_max,fecha_max_global,precip_max_global,cluster_geografico,p95_propia,p95_cluster_prom,ratio_p95_cluster
2120000129,COLEGIO OFELIA URIBE ACOSTA [2120000129],-74.103,4.506,2815,Automática con Telemetría,0.935,0.857,0.946,0.945,0.379,0.0,0.0,0.075,14.9,2024-03-20,14.9,2.574,0.0,0.0,2.95,27.0,2024-11-10,27.0,2.952,0.1,0.8,3.6,30.7,2025-04-25,30.7,1.513,0.0,0.25,1.9,14.0,2025-09-30,14.0,6.2,1.7,1.5,1.2,1.137,2025-04-25,30.7,6,8.1,8.67,0.93
0021206780,LA INDEPENDENCI - AUT [21206780],-74.195,4.619,2548,Automática con Telemetría,0.87,0.857,0.946,0.945,0.331,0.0,0.0,0.0,9.5,2024-03-20,9.5,2.471,0.0,0.0,2.475,38.2,2024-11-22,38.2,1.934,0.0,0.2,2.05,29.3,2025-04-27,29.3,1.727,0.0,0.1,1.275,21.3,2025-11-12,21.3,5.9,1.5,1.5,1.2,1.304,2024-11-22,38.2,3,6.62,12.83,0.52
2120000135,COLEGIO MANUEL ELKIN PATARROYO [2120000135],-74.064,4.618,2672,Automática con Telemetría,0.935,0.835,0.946,0.956,0.835,0.0,0.0,0.1,32.0,2024-03-20,32.0,6.384,0.0,0.4,7.35,69.8,2024-11-12,69.8,3.998,0.1,1.0,5.9,35.4,2025-04-25,35.4,2.271,0.0,0.2,1.7,34.1,2025-11-18,34.1,5.6,1.2,1.5,1.1,1.058,2024-11-12,69.8,7,12.75,15.26,0.84
0021206890,CERRO CAZADORES [21206890],-74.029,4.666,3182,Automática con Telemetría,0.88,0.813,0.946,0.956,0.383,0.0,0.0,0.1,14.2,2024-03-20,14.2,8.151,0.0,0.3,7.725,104.4,2024-11-20,104.4,3.632,0.1,1.2,3.35,36.3,2025-04-25,36.3,1.961,0.0,0.2,1.65,36.6,2025-11-30,36.6,6.4,1.1,1.7,1.2,1.483,2024-11-20,104.4,5,12.66,12.84,0.99
2120000119,COLEGIO ALEMANIA UNIFICADA [2120000119],-74.097,4.556,2741,Automática con Telemetría,0.924,0.857,0.935,0.934,0.588,0.0,0.0,0.1,18.5,2024-03-20,18.5,5.004,0.0,0.2,4.95,48.0,2024-11-20,48.0,3.278,0.1,0.75,3.6,35.5,2025-04-25,35.5,2.318,0.0,0.3,1.7,32.3,2025-11-15,32.3,6.1,1.4,1.6,1.2,1.263,2024-11-20,48.0,6,12.36,8.48,1.46
2120000171,COLEGIO AGUSTIN FERNANDEZ [2120000171],-74.024,4.729,2612,Automática con Telemetría,0.935,0.824,0.946,0.934,0.412,0.0,0.0,0.1,3.8,2024-04-22,3.8,6.988,0.0,0.0,6.6,79.0,2024-11-02,79.0,4.992,0.1,0.7,6.1,40.6,2025-03-05,40.6,2.826,0.0,0.2,2.4,25.6,2025-11-15,25.6,5.8,1.2,1.5,1.2,1.172,2024-11-02,79.0,5,14.9,12.67,1.18
2120000100,COLEGIO ALEMANIA SOLIDARIA [2120000100],-74.075,4.652,2556,Automática con Telemetría,0.935,0.857,0.946,0.945,0.383,0.0,0.0,0.1,13.6,2024-03-20,13.6,5.321,0.0,0.05,4.925,43.2,2024-10-19,43.2,2.118,0.0,0.6,2.6,19.1,2025-04-27,19.1,2.427,0.0,0.1,1.95,47.8,2025-11-21,47.8,6.2,1.4,2.9,1.8,1.106,2025-11-21,47.8,7,12.65,15.26,0.83
2120700154,MOLINOS [2120700154],-74.108,4.553,2590,Automática con Telemetría,0.935,0.857,0.946,0.945,0.399,0.0,0.0,0.075,8.1,2024-03-20,8.1,3.574,0.0,0.0,2.675,36.0,2024-11-15,36.0,2.518,0.0,0.6,2.4,27.9,2025-04-27,27.9,2.678,0.0,0.3,2.15,34.0,2025-11-15,34.0,5.7,1.7,1.5,1.2,1.059,2024-11-15,36.0,6,9.11,8.63,1.06
2120000133,COLEGIO EL MANANTIAL [2120000133],-74.075,4.561,2877,Automática con Telemetría,0.924,0.835,0.946,0.934,0.702,0.0,0.0,0.1,19.3,2024-03-20,19.3,7.771,0.0,0.4,8.35,63.0,2024-11-20,63.0,3.791,0.2,1.1,4.6,42.2,2025-04-25,42.2,1.508,0.0,0.2,1.7,19.2,2025-10-13,19.2,5.7,1.2,1.6,1.2,1.26,2024-11-20,63.0,6,11.9,8.5,1.4
2120000107,LA FISCALA - AUT [2120000107],-74.107,4.536,2718,Automática con Telemetría,0.924,0.857,0.946,0.934,0.42,0.0,0.0,0.1,15.4,2024-03-20,15.4,3.571,0.0,0.0,2.15,32.4,2024-11-20,32.4,2.545,0.0,0.5,3.15,28.2,2025-04-25,28.2,2.005,0.0,0.4,1.6,32.2,2025-11-15,32.2,7.0,1.7,1.9,1.2,1.006,2024-11-20,32.4,6,8.4,8.66,0.97
