timestamp,estado,detalle,archivo,frac_nan_C08,frac_nan_C09,frac_nan_C10,frac_nan_C13,frac_nan_C14
2024-09-28 18:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-182000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 18:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-183000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 18:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-184000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 18:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-185000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 19:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-190000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 19:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-191000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 19:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-192000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 19:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-193000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 19:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-194000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 19:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-195000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-200000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-201000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-202000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-203000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-204000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 20:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-205000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-210000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-211000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-212000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-213000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-214000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 21:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-215000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-220000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-221000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-222000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-223000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-224000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 22:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-225000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 23:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-230000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 23:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-231000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 23:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-232000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 23:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-233000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-28 23:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-234000.nc,0.0,0.0,0.0,0.0,0.0
