inicio,fin,n_ts,motivo,satelite
2024-11-14 01:20:00,2024-11-14 01:30:00,2,excluido_qc,G16
2024-11-15 01:00:00,2024-11-15 01:20:00,3,excluido_qc,G16
2024-11-15 17:20:00,2024-11-15 20:20:00,19,excluido_qc+sin_archivo,G16
2024-11-17 11:20:00,2024-11-17 15:00:00,23,excluido_qc+sin_archivo,G16
2024-11-22 17:10:00,2024-11-22 17:10:00,1,excluido_qc,G16
2024-12-03 05:40:00,2024-12-03 10:00:00,27,sin_archivo,G16
2024-12-05 15:40:00,2024-12-05 15:40:00,1,sin_archivo,G16
2024-12-06 07:50:00,2024-12-06 07:50:00,1,excluido_qc,G16
2024-12-06 09:50:00,2024-12-06 11:30:00,11,excluido_qc+sin_archivo,G16
2024-12-11 16:10:00,2024-12-11 16:10:00,1,excluido_qc,G16
2024-12-11 19:10:00,2024-12-11 19:10:00,1,excluido_qc,G16
2024-12-17 16:40:00,2024-12-17 16:40:00,1,sin_archivo,G16
2024-12-20 05:40:00,2024-12-20 06:00:00,3,excluido_qc,G16
2025-01-06 11:00:00,2025-01-06 11:00:00,1,excluido_qc,G16
2025-01-07 19:30:00,2025-01-07 19:30:00,1,excluido_qc,G16
2025-01-20 11:10:00,2025-01-20 11:10:00,1,excluido_qc,G16
2025-01-22 16:50:00,2025-01-22 16:50:00,1,excluido_qc,G16
2025-01-31 21:20:00,2025-01-31 22:00:00,5,excluido_qc,G16
2025-02-01 17:10:00,2025-02-01 20:20:00,20,sin_archivo,G16
2025-02-04 16:30:00,2025-02-04 16:30:00,1,excluido_qc,G16
2025-02-24 01:20:00,2025-02-24 01:20:00,1,excluido_qc,G16
2025-02-24 01:50:00,2025-02-24 01:50:00,1,excluido_qc,G16
2025-02-25 17:40:00,2025-02-25 17:40:00,1,sin_archivo,G16
2025-02-28 23:10:00,2025-02-28 23:10:00,1,excluido_qc,G16
2025-03-03 19:10:00,2025-03-03 19:10:00,1,excluido_qc,G16
2025-03-06 11:00:00,2025-03-06 11:00:00,1,excluido_qc,G16
2025-03-08 03:30:00,2025-03-08 03:30:00,1,excluido_qc,G16
2025-03-11 14:10:00,2025-03-11 14:10:00,1,excluido_qc,G16
2025-03-11 16:00:00,2025-03-11 16:00:00,1,sin_archivo,G16
2025-03-14 16:40:00,2025-03-14 16:40:00,1,excluido_qc,G16
2025-03-14 18:10:00,2025-03-14 18:10:00,1,excluido_qc,G16
2025-03-18 15:40:00,2025-03-18 15:40:00,1,excluido_qc,G16
2025-03-19 22:40:00,2025-03-19 22:40:00,1,excluido_qc,G16
2025-03-31 11:00:00,2025-03-31 11:00:00,1,excluido_qc,G16
2025-04-07 17:30:00,2025-04-07 17:30:00,1,excluido_qc,G19
2025-04-09 15:50:00,2025-04-09 15:50:00,1,excluido_qc,G19
2025-04-09 17:40:00,2025-04-09 17:40:00,1,excluido_qc,G19
2025-04-11 08:00:00,2025-04-11 08:00:00,1,excluido_qc,G19
2025-04-14 23:00:00,2025-04-14 23:00:00,1,excluido_qc,G19
